,p_steam,Theta,CAH,k_coat,delta_coat,N_s,alpha,bond
6634,2976.9775390625,50.7373046875,78.48388671875,5.573730468750001,2.0737353515625e-05,611816.7944335938,26031.33836254995,4.081965114314259
6635,2976.9775390625,50.7373046875,78.48388671875,5.573730468750001,2.0737353515625e-05,75684.51806640625,25228.2398184474,4.081965114314259
6636,3856.7626953125,77.2998046875,3.12939453125,5.717285156250001,3.9108740234375e-05,861816.5444335938,42581.4065093136,0.073466513933037
6637,1739.4775390625,77.2998046875,3.12939453125,5.717285156250001,3.9108740234375e-05,861816.5444335938,42002.454485063565,0.073466513933037
6638,3856.7626953125,8.2373046875,3.12939453125,5.717285156250001,3.9108740234375e-05,861816.5444335938,1674.4140871203704,6.728170902856441
6639,3856.7626953125,77.2998046875,56.23388671875,5.717285156250001,3.9108740234375e-05,861816.5444335938,27069.777280842725,1.2679672209919044
6640,3856.7626953125,77.2998046875,3.12939453125,8.023730468750001,3.9108740234375e-05,861816.5444335938,53263.67772654407,0.073466513933037
6641,3856.7626953125,77.2998046875,3.12939453125,5.717285156250001,8.262353515625e-06,861816.5444335938,116279.07254804064,0.073466513933037
6642,3856.7626953125,77.2998046875,3.12939453125,5.717285156250001,3.9108740234375e-05,325684.26806640625,42085.76128901609,0.073466513933037
6643,3856.7626953125,8.2373046875,56.23388671875,8.023730468750001,8.262353515625e-06,325684.26806640625,3728.7740601086025,167.36456884601313
6644,1739.4775390625,77.2998046875,56.23388671875,8.023730468750001,8.262353515625e-06,325684.26806640625,86135.598257506,1.2679672209919042
6645,1739.4775390625,8.2373046875,3.12939453125,8.023730468750001,8.262353515625e-06,325684.26806640625,6075.725234206146,6.72817090285644
6646,1739.4775390625,8.2373046875,56.23388671875,5.717285156250001,8.262353515625e-06,325684.26806640625,2926.7489998071055,167.36456884601313
6647,1739.4775390625,8.2373046875,56.23388671875,8.023730468750001,3.9108740234375e-05,325684.26806640625,1310.2363499537387,167.36456884601313
6648,1739.4775390625,8.2373046875,56.23388671875,8.023730468750001,8.262353515625e-06,861816.5444335938,3655.9698597375327,167.36456884601313
6649,1739.4775390625,8.2373046875,56.23388671875,8.023730468750001,8.262353515625e-06,325684.26806640625,3637.2675937430413,167.36456884601313
6650,1381.7626953125,162.2998046875,47.62939453125,0.8172851562500001,1.4158740234375e-05,361817.04443359375,2697.8517000249117,0.036528689110876214
6651,4214.4775390625,162.2998046875,47.62939453125,0.8172851562500001,1.4158740234375e-05,361817.04443359375,2738.9617875687454,0.03652868911087622
6652,1381.7626953125,93.2373046875,47.62939453125,0.8172851562500001,1.4158740234375e-05,361817.04443359375,15335.161764629805,0.7087326499023259
6653,1381.7626953125,162.2998046875,11.73388671875,0.8172851562500001,1.4158740234375e-05,361817.04443359375,3207.694600799227,0.009037979700017401
6654,1381.7626953125,162.2998046875,47.62939453125,3.1237304687500003,1.4158740234375e-05,361817.04443359375,6803.67290319353,0.036528689110876214
6655,1381.7626953125,162.2998046875,47.62939453125,0.8172851562500001,3.3212353515625003e-05,361817.04443359375,1436.6749621762983,0.036528689110876214
6656,1381.7626953125,162.2998046875,47.62939453125,0.8172851562500001,1.4158740234375e-05,825683.7680664062,2715.6596874031775,0.036528689110876214
6657,1381.7626953125,93.2373046875,11.73388671875,3.1237304687500003,3.3212353515625003e-05,825683.7680664062,26520.461710188858,0.17941869916085476
6658,4214.4775390625,162.2998046875,11.73388671875,3.1237304687500003,3.3212353515625003e-05,825683.7680664062,4700.603970949197,0.009037979700017405
